id_siniestro,valor_real,valor_predicho,probabilidad_fatal
LC-2022-0150579,0,0,0.007255621083969632
LC-2020-0029430,0,0,0.061415103786269576
LC-2024-0625564,0,0,0.0027928630034890784
LC-2019-0478243,0,0,0.027650754048352905
LC-2025-0002766,0,0,0.13924595075665086
LC-2021-0406174,0,0,0.04751385834034771
LC-2023-0381687,0,0,0.037078729609178955
LC-2024-0721735,0,0,0.06216089230802778
LC-2022-0094268,0,0,0.04912761573399373
LC-2019-0068985,0,0,0.024473155745954104
LC-2022-0633942,0,0,0.05052284287973273
LC-2020-0457367,0,0,0.04594764865295438
LC-2020-0573371,0,0,0.010411828464286614
LC-2021-0631524,0,0,0.005963803322156997
LC-2025-0745995,0,0,0.03710476488202723
LC-2023-0105839,0,0,0.39341884051684245
LC-2020-0551952,0,0,0.005907510761393801
LC-2021-0495970,0,0,0.16742141902339305
LC-2025-0788872,0,0,0.05971138239141182
LC-2023-0567001,0,0,0.2418374739894833
LC-2019-0449939,0,0,0.43307521036704943
LC-2025-0310322,0,0,0.01741765594406545
LC-2021-0384904,0,0,0.017697593694215162
LC-2021-0161058,0,0,0.5726545739866031
LC-2023-0409035,0,0,0.039207505998355416
LC-2022-0395132,0,0,0.043821940397014474
LC-2023-0250153,0,0,0.31945754276805954
LC-2024-0058820,0,0,0.0659961157823872
LC-2023-0712138,0,0,0.2701135162876462
LC-2025-0291712,0,0,0.4228788561958921
LC-2019-0713444,0,0,0.004395690615192521
LC-2021-0450332,0,0,0.1654198977654194
LC-2023-0398227,0,0,0.34209652524362855
LC-2025-0314084,0,0,0.1666176896798621
LC-2024-0433214,0,0,0.03431233178006082
LC-2019-0227819,0,0,0.0053712380348057455
LC-2020-0117173,0,0,0.0716789494239063
LC-2025-0720691,0,0,0.007772037834101977
LC-2024-0299111,0,0,0.07896674696262411
LC-2024-0602092,0,0,0.008416432708186407
LC-2021-0124387,0,0,0.07670366565796352
LC-2025-0529544,0,0,0.10084135888318135
LC-2021-0496808,0,0,0.06307723084304011
LC-2019-0633661,0,0,0.029399425497637143
LC-2021-0499157,0,0,0.0002756423486435253
LC-2024-0225924,0,0,0.005116388917800171
LC-2021-0039278,0,0,0.04347117545290428
LC-2019-0433553,0,0,0.040083095138678894
LC-2019-0213518,0,0,0.07018653959088055
LC-2019-0331046,0,0,0.004846249720961381
LC-2021-0614514,0,0,0.11882890136373238
LC-2020-0509674,0,0,0.09044352009734993
LC-2023-0730267,0,0,0.10758033584833053
LC-2025-0445605,0,0,0.11679581544890208
LC-2021-0038496,0,0,0.1511500210942259
LC-2025-0356378,0,0,0.14910073861871717
LC-2023-0504884,0,0,0.0004963634299968018
LC-2022-0002613,0,0,0.14618032768031874
LC-2025-0124624,0,0,0.1277734447172774
LC-2021-0539996,0,0,0.005889396476116317
LC-2023-0297819,0,0,0.057477076743111456
LC-2022-0634581,0,0,0.09957521597168706
LC-2021-0343787,0,0,0.04829083280560458
LC-2023-0416787,0,0,0.025231443053420906
LC-2019-0320626,0,0,0.10388016587553235
LC-2020-0052358,0,0,0.11785375806836353
LC-2020-0660892,0,0,0.12710624559738962
LC-2020-0483108,0,0,0.34802505573181713
LC-2020-0057129,0,0,0.073890019173136
LC-2022-0175007,0,1,0.004179158133963434
LC-2025-0202973,0,0,0.007357789683241351
LC-2019-0188020,0,1,0.027658939617346234
LC-2020-0684696,0,0,7.342177634956852e-05
LC-2019-0237028,0,0,0.020209698189331254
LC-2025-0084932,0,0,0.07015383282557165
LC-2021-0014489,0,0,0.09780594951681358
LC-2019-0760707,0,0,0.04257794701156674
LC-2025-0747802,0,0,0.27836239950981617
LC-2019-0661412,0,0,0.030856068387156932
LC-2024-0733470,0,0,0.10886144470744535
LC-2023-0305811,0,0,0.03417220983328298
LC-2021-0204704,0,0,0.005591507581543456
LC-2024-0396520,0,0,0.0002756423486435253
LC-2025-0403639,0,0,0.004837028234298695
LC-2024-0567134,0,0,0.01728199245862825
LC-2024-0087729,0,0,0.0016008887552406415
LC-2025-0568987,0,0,0.060412146155295735
LC-2025-0569555,0,0,0.0875733246648676
LC-2019-0474061,0,0,0.02019373574780325
LC-2019-0412470,0,0,0.022747641079936633
LC-2019-0095575,0,0,0.0
LC-2024-0331652,0,0,0.08478575923312484
LC-2020-0523202,0,0,0.04719992881263727
LC-2024-0205306,0,0,0.03710983974699783
LC-2022-0275796,0,0,0.6693531737775245
LC-2024-0333635,0,0,0.22544658360358885
LC-2021-0609586,0,0,0.1669136686626748
LC-2024-0385933,0,0,0.005600638581382807
LC-2022-0267670,0,0,0.493689036778429
LC-2020-0057450,0,0,0.15214008040110336
LC-2019-0171610,0,0,0.1880665466600421
LC-2025-0272405,0,0,0.09198475265674812
LC-2024-0626194,0,0,0.3174842466902436
LC-2020-0369819,0,0,0.13333205945550897
LC-2021-0396776,0,0,0.008365654513791706
LC-2019-0121022,0,0,0.07646629911032575
LC-2023-0436399,0,0,0.01079518209079547
LC-2023-0308258,0,0,0.005899838131417456
LC-2021-0057875,0,0,0.3561209023369607
LC-2019-0123572,0,0,0.004526747856954208
LC-2023-0648513,0,0,0.012786206693000712
LC-2019-0298365,0,0,0.0020259439019756826
LC-2022-0119916,0,0,0.0018563810325608022
LC-2022-0139414,0,0,0.09886832223507865
LC-2021-0599884,0,0,0.07639194505979617
LC-2020-0589394,0,0,0.0
LC-2023-0627096,0,0,0.01167837199638747
LC-2025-0743741,0,0,0.04998019514558185
LC-2020-0108881,0,0,0.18280521450095544
LC-2020-0026149,0,0,0.07440223084643022
